epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.37341,1.04426,5.83559,0.64428,0,0,0,0,0.01251,0.94623,0.00714,0.000364583,0.000364583,0.000364583
2,12.5348,2.46343,6.65508,1.4736,0,0,0,0,0.01265,0.94714,0.00722,0.000768359,0.000768359,0.000768359
3,13.3685,2.64679,6.50498,1.52649,0,0,0,0,0.01273,0.9452,0.00726,0.00115839,0.00115839,0.00115839
4,14.1694,4.3857,7.17663,2.46566,0,0,0,0,0.0127,0.94341,0.00725,0.00118812,0.00118812,0.00118812
5,14.9926,5.20245,6.73595,2.9315,0,0,0,0,0.01201,0.94107,0.0069,0.0011675,0.0011675,0.0011675
6,15.87,5.18716,5.62649,3.34879,0,0,0,0,0.01104,0.93427,0.00641,0.00114688,0.00114688,0.00114688
7,16.7064,4.37394,4.71157,2.76433,0,0,0,0,0.00989,0.92504,0.00583,0.00112625,0.00112625,0.00112625
8,17.52,4.2938,4.03088,2.46431,0,0,0,0,0.00839,0.91448,0.00503,0.00110563,0.00110563,0.00110563
9,18.3503,4.17748,3.89747,2.35475,0,0,0,0,0.00694,0.89843,0.00424,0.001085,0.001085,0.001085
10,19.2202,3.94568,3.54453,2.161,0,0,0,0,0.00555,0.88283,0.00347,0.00106437,0.00106437,0.00106437
11,20.0312,3.8982,3.24935,2.05071,0,0,0,0,0.00437,0.86719,0.00279,0.00104375,0.00104375,0.00104375
12,20.8583,3.92325,3.0006,1.89906,0,0,0,0,0.00348,0.84698,0.00228,0.00102312,0.00102312,0.00102312
13,21.712,3.75784,2.95517,1.80851,0,0,0,0,0.00285,0.82447,0.00191,0.0010025,0.0010025,0.0010025
14,22.5717,3.68841,2.6526,1.68415,0,0,0,0,0.0023,0.80091,0.00157,0.000981875,0.000981875,0.000981875
15,23.4192,3.65477,2.63248,1.62153,0,0,0,0,0.00192,0.77766,0.00134,0.00096125,0.00096125,0.00096125
16,24.2419,3.48506,2.33313,1.53388,0,0,0,0,0.00156,0.76,0.00111,0.000940625,0.000940625,0.000940625
17,25.0677,3.25987,2.26297,1.52884,0,0,0,0,0.00137,0.74318,0.00099,0.00092,0.00092,0.00092
18,25.925,3.23814,2.17944,1.46897,0,0,0,0,0.00121,0.72686,0.00089,0.000899375,0.000899375,0.000899375
19,26.7544,3.18836,2.02431,1.36843,0,0,0,0,0.53978,1.03722,0.16907,0.00087875,0.00087875,0.00087875
20,27.6189,3.20127,2.02416,1.39866,0.01786,0.25,0.24875,0.0995,2.11594,3.04422,1.39387,0.000858125,0.000858125,0.000858125
21,28.4433,3.13163,1.96279,1.37651,0.01923,0.25,0.24875,0.0995,3.84242,3.05659,1.81326,0.0008375,0.0008375,0.0008375
22,29.2718,2.99635,1.84664,1.34744,0.80206,0.5,0.65281,0.21644,2.95441,2.32068,1.38429,0.000816875,0.000816875,0.000816875
23,30.1213,2.93016,1.77352,1.32283,0.75495,0.5,0.54663,0.19626,2.72446,2.06658,1.27729,0.00079625,0.00079625,0.00079625
24,30.9525,2.95049,1.77304,1.26813,0.43813,0.625,0.57979,0.25321,2.49094,1.81794,1.22162,0.000775625,0.000775625,0.000775625
25,31.7778,2.81127,1.74989,1.31556,0.57186,0.875,0.74562,0.30523,2.43538,1.42393,1.15903,0.000755,0.000755,0.000755
26,32.5998,2.8284,1.68015,1.25788,0.55099,0.83598,0.74562,0.29715,2.31451,1.33553,1.16504,0.000734375,0.000734375,0.000734375
27,33.4107,2.86524,1.66063,1.22093,0.47448,0.7926,0.74562,0.28154,2.54721,1.30238,1.18683,0.00071375,0.00071375,0.00071375
28,34.2368,2.7021,1.63192,1.24828,0.42422,0.82636,0.74562,0.24015,2.84434,1.3067,1.24625,0.000693125,0.000693125,0.000693125
29,35.0423,2.5723,1.53003,1.23641,0.7305,0.625,0.74562,0.30233,2.54007,1.30081,1.215,0.0006725,0.0006725,0.0006725
30,35.8708,2.74617,1.57794,1.19884,0.8533,0.625,0.87,0.4225,2.34104,1.25191,1.14085,0.000651875,0.000651875,0.000651875
31,36.6953,2.59459,1.4841,1.19948,0.90491,0.625,0.87,0.39775,2.38438,1.25607,1.12329,0.00063125,0.00063125,0.00063125
32,37.5094,2.44804,1.47399,1.16228,0.88184,0.625,0.87,0.41013,2.18716,1.16592,1.0882,0.000610625,0.000610625,0.000610625
33,38.3203,2.53907,1.4454,1.18592,0.44053,0.875,0.87,0.47212,1.85904,1.09114,1.08406,0.00059,0.00059,0.00059
34,39.188,2.51551,1.40605,1.22655,0.51023,0.875,0.87,0.47212,1.93243,1.03226,1.08709,0.000569375,0.000569375,0.000569375
35,40.006,2.58781,1.45118,1.20768,0.56138,0.875,0.87,0.44737,2.19121,1.01004,1.09766,0.00054875,0.00054875,0.00054875
36,40.8374,2.49491,1.38095,1.20456,0.60416,0.875,0.87,0.48488,2.11725,1.09214,1.06964,0.000528125,0.000528125,0.000528125
37,41.651,2.55637,1.38957,1.15983,0.58743,0.875,0.87,0.4725,2.10055,1.77522,1.06331,0.0005075,0.0005075,0.0005075
38,42.5495,2.5019,1.36022,1.15823,0.58872,0.875,0.87,0.42263,2.18776,2.00332,1.06082,0.000486875,0.000486875,0.000486875
39,43.3688,2.49697,1.35369,1.12182,0.67883,0.875,0.87,0.42269,2.10424,1.69282,1.05393,0.00046625,0.00046625,0.00046625
40,44.1995,2.44276,1.33913,1.14056,0.65749,0.875,0.87,0.42269,2.01318,1.29497,1.0429,0.000445625,0.000445625,0.000445625
41,44.9999,2.33144,1.29152,1.14499,0.6492,0.875,0.92,0.45256,1.93151,1.18139,1.04241,0.000425,0.000425,0.000425
42,45.8586,2.37412,1.30875,1.14394,0.64537,0.875,0.9325,0.46619,1.97587,1.067,1.06177,0.000404375,0.000404375,0.000404375
43,46.6622,2.35497,1.24729,1.12608,0.67779,0.875,0.9325,0.46613,2.03731,1.04224,1.06024,0.00038375,0.00038375,0.00038375
44,47.5088,2.38757,1.23401,1.1291,0.68455,0.875,0.9325,0.47237,2.04669,1.00153,1.0522,0.000363125,0.000363125,0.000363125
45,48.3276,2.33355,1.24366,1.1342,0.69611,0.875,0.95333,0.42263,2.11829,1.03323,1.04764,0.0003425,0.0003425,0.0003425
46,49.1767,2.29685,1.27638,1.12224,0.79626,0.98486,0.995,0.46013,2.25942,1.1012,1.0636,0.000321875,0.000321875,0.000321875
